Actual,black_Ghost,black_Ghoul,black_Goblin,blood_Ghost,blood_Ghoul,blood_Goblin,blue_Ghost,blue_Ghoul,blue_Goblin,clear_Ghost,clear_Ghoul,clear_Goblin,green_Ghost,green_Ghoul,white_Ghost,white_Ghoul,white_Goblin,All
black_Ghost,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,6
black_Ghoul,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,4
black_Goblin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3
blood_Ghost,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
blue_Ghost,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
blue_Ghoul,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blue_Goblin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
clear_Ghost,0,0,2,0,0,0,1,0,0,2,0,1,0,0,3,1,2,12
clear_Ghoul,0,4,0,0,0,1,0,0,0,0,5,0,0,0,0,3,0,13
clear_Goblin,1,1,1,0,0,0,0,0,0,1,2,8,0,0,0,1,3,18
green_Ghost,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,6
green_Ghoul,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3
green_Goblin,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
white_Ghost,0,0,1,1,0,0,1,0,0,3,0,0,1,0,6,0,0,13
white_Ghoul,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,7,1,14
white_Goblin,0,0,0,0,0,1,0,0,0,0,2,3,0,1,0,0,2,9
All,5,7,8,3,2,2,2,2,1,11,13,13,1,1,15,15,11,112
